listing_id,bedrooms,bathrooms,accommodates,room_type,neighborhood,description,price
listing1354,5,1,11,Entire home/apt,Suburb,Easy check-in process. convenient location. great for a short stay. comfortable and clean.,245.29
listing1355,5,3,6,Entire home/apt,Downtown,Well maintained. close to public transit. standard kitchen and bath. comfortable and clean. great for a short stay.,292.43
listing1356,1,2,2,Private room,Waterfront,No frills stay. shared bathroom down the hall. easy check-in process.,113.69
listing1357,5,2,11,Entire home/apt,Waterfront,Comfortable and clean. quiet street. well maintained.,317.91
listing1358,1,2,2,Private room,Suburb,Comfortable and clean. close to public transit. easy check-in process. reliable wifi.,81.03
listing1359,4,3,9,Entire home/apt,Uptown,High-end appliances. responsive host. walk to great restaurants. modern finishes throughout.,288.72
listing1360,5,3,11,Private room,Uptown,"Thin walls, budget option. no frills stay. parking available nearby. a bit dated but functional.",197.27
listing1361,5,1,11,Private room,Suburb,Responsive host. high-end appliances. spacious and bright.,233.32
listing1362,2,3,3,Entire home/apt,Suburb,Great for a short stay. well maintained. convenient location. quiet street.,189.64
listing1363,5,2,11,Private room,Uptown,Recently renovated. great for a short stay. easy check-in process. high-end appliances.,278.39
listing1364,1,3,2,Entire home/apt,Suburb,Comfortable and clean. great for a short stay. convenient location. standard kitchen and bath. easy check-in process.,189.47
listing1365,3,2,7,Entire home/apt,Downtown,A bit dated but functional. close to public transit. shared bathroom down the hall.,236.11
listing1366,3,1,7,Entire home/apt,Waterfront,Standard kitchen and bath. reliable wifi. convenient location. easy check-in process. great for a short stay.,273.59
listing1367,2,3,3,Private room,Suburb,Walk to great restaurants. quiet street. recently renovated. spacious and bright.,172.2
listing1368,1,1,2,Private room,Uptown,Easy check-in process. responsive host. reliable wifi. comfortable and clean. standard kitchen and bath.,126.52
listing1369,4,3,5,Shared room,Uptown,"Easy check-in process. a bit dated but functional. thin walls, budget option.",159.21
listing1370,2,1,5,Private room,Suburb,Well maintained. responsive host. easy check-in process. standard kitchen and bath. reliable wifi.,122.41
listing1371,4,1,5,Shared room,Suburb,Reliable wifi. convenient location. well maintained. responsive host.,130.48
listing1372,3,2,4,Entire home/apt,Suburb,Standard kitchen and bath. quiet street. comfortable and clean.,197.54
listing1373,2,3,5,Shared room,Uptown,Well maintained. responsive host. comfortable and clean. convenient location.,130.5
listing1374,5,2,11,Private room,Suburb,No frills stay. parking available nearby. a bit dated but functional.,164.95
listing1375,1,1,3,Entire home/apt,Downtown,Well maintained. parking available nearby. great for a short stay. comfortable and clean.,202.46
listing1376,4,1,9,Private room,Uptown,Walk to great restaurants. quiet street. modern finishes throughout. easy check-in process. high-end appliances.,219.36
listing1377,4,3,9,Entire home/apt,Uptown,Close to public transit. recently renovated. high-end appliances. modern finishes throughout.,310.71
listing1378,2,3,5,Entire home/apt,Suburb,"Close to public transit. a bit dated but functional. thin walls, budget option. no frills stay.",137.74
listing1379,2,1,3,Entire home/apt,Suburb,Quiet street. convenient location. reliable wifi. parking available nearby.,188.68
listing1380,1,2,3,Entire home/apt,Waterfront,Comfortable and clean. standard kitchen and bath. well maintained. easy check-in process. parking available nearby.,212.35
listing1381,5,1,11,Entire home/apt,Waterfront,No frills stay. basic amenities. shared bathroom down the hall. great for a short stay.,284.47
listing1382,5,1,11,Private room,Uptown,Convenient location. well maintained. great for a short stay.,231.49
listing1383,2,3,5,Private room,Uptown,Great for a short stay. basic amenities. no frills stay. shared bathroom down the hall.,129.6
listing1384,1,2,3,Entire home/apt,Uptown,"Thin walls, budget option. close to public transit. shared bathroom down the hall. a bit dated but functional.",172.33
listing1385,1,1,2,Entire home/apt,Downtown,Modern finishes throughout. walk to great restaurants. high-end appliances. quiet street.,216.1
listing1386,1,2,3,Entire home/apt,Uptown,Great for a short stay. convenient location. reliable wifi. quiet street.,213.77
listing1387,5,2,11,Entire home/apt,Suburb,Easy check-in process. modern finishes throughout. responsive host. high-end appliances. spacious and bright.,317.05
listing1388,5,1,6,Private room,Waterfront,Responsive host. a bit dated but functional. shared bathroom down the hall. parking available nearby.,196.51
listing1389,1,2,3,Entire home/apt,Suburb,Convenient location. comfortable and clean. easy check-in process.,177.1
listing1390,4,1,5,Private room,Uptown,Reliable wifi. well maintained. responsive host.,157.98
listing1391,1,1,3,Private room,Uptown,Walk to great restaurants. parking available nearby. spacious and bright. close to public transit. modern finishes throughout.,146.54
listing1392,2,3,5,Private room,Downtown,Spacious and bright. recently renovated. close to public transit. high-end appliances. responsive host.,233.33
listing1393,3,3,4,Private room,Uptown,Quiet street. responsive host. well maintained. standard kitchen and bath.,147.6
listing1394,4,1,5,Entire home/apt,Uptown,Well maintained. quiet street. reliable wifi. easy check-in process. comfortable and clean.,243.73
listing1395,5,3,11,Private room,Downtown,"Quiet street. no frills stay. responsive host. thin walls, budget option.",230.39
listing1396,1,2,2,Private room,Downtown,Great for a short stay. standard kitchen and bath. convenient location.,159.63
listing1397,1,3,3,Private room,Waterfront,"Thin walls, budget option. quiet street. great for a short stay. a bit dated but functional. no frills stay.",111.0
listing1398,2,3,3,Private room,Uptown,Well maintained. reliable wifi. responsive host. parking available nearby.,167.32
listing1399,2,2,5,Private room,Uptown,"Thin walls, budget option. basic amenities. responsive host. no frills stay. easy check-in process.",109.29
listing1400,5,2,11,Shared room,Downtown,Responsive host. high-end appliances. recently renovated. great for a short stay.,253.64
listing1401,4,2,9,Entire home/apt,Uptown,Well maintained. reliable wifi. easy check-in process.,248.34
listing1402,2,3,3,Private room,Uptown,Responsive host. comfortable and clean. convenient location. standard kitchen and bath.,134.95
listing1403,5,1,11,Private room,Uptown,Parking available nearby. reliable wifi. well maintained.,218.84
listing1404,3,1,4,Entire home/apt,Waterfront,Quiet street. comfortable and clean. responsive host. reliable wifi.,231.65
listing1405,3,1,4,Shared room,Downtown,"Shared bathroom down the hall. thin walls, budget option. great for a short stay. close to public transit.",123.88
listing1406,3,1,4,Entire home/apt,Suburb,Parking available nearby. designer furnished. private rooftop access. five-star concierge service.,272.04
listing1407,1,1,3,Private room,Downtown,Parking available nearby. great for a short stay. walk to great restaurants. modern finishes throughout. recently renovated.,155.44
listing1408,5,1,11,Entire home/apt,Uptown,"Thin walls, budget option. responsive host. great for a short stay. no frills stay.",242.67
listing1409,1,3,2,Entire home/apt,Downtown,Modern finishes throughout. close to public transit. recently renovated. walk to great restaurants. parking available nearby.,255.04
listing1410,1,1,2,Private room,Uptown,Close to public transit. convenient location. responsive host. reliable wifi.,102.67
listing1411,2,3,5,Entire home/apt,Downtown,No frills stay. responsive host. parking available nearby. shared bathroom down the hall.,211.41
listing1412,2,1,3,Entire home/apt,Suburb,Standard kitchen and bath. parking available nearby. convenient location. quiet street.,176.35
listing1413,1,3,2,Entire home/apt,Uptown,"Thin walls, budget option. basic amenities. close to public transit. easy check-in process.",173.99
listing1414,1,1,3,Entire home/apt,Waterfront,"Thin walls, budget option. a bit dated but functional. easy check-in process. shared bathroom down the hall.",171.28
listing1415,4,2,5,Private room,Downtown,Spacious and bright. recently renovated. quiet street. high-end appliances. great for a short stay.,229.47
listing1416,5,1,11,Private room,Downtown,Standard kitchen and bath. comfortable and clean. quiet street. responsive host.,234.91
listing1417,1,2,3,Entire home/apt,Uptown,Recently renovated. high-end appliances. responsive host.,230.65
listing1418,2,2,3,Private room,Uptown,Responsive host. walk to great restaurants. spacious and bright. parking available nearby. modern finishes throughout.,160.47
listing1419,3,2,4,Entire home/apt,Uptown,Modern finishes throughout. walk to great restaurants. high-end appliances. easy check-in process. great for a short stay.,254.31
listing1420,5,2,11,Private room,Suburb,Parking available nearby. quiet street. convenient location. comfortable and clean. well maintained.,190.37
listing1421,4,2,9,Entire home/apt,Waterfront,Recently renovated. easy check-in process. quiet street. modern finishes throughout.,330.51
listing1422,4,3,9,Entire home/apt,Suburb,Standard kitchen and bath. responsive host. convenient location. well maintained.,238.87
listing1423,3,2,4,Entire home/apt,Downtown,Standard kitchen and bath. quiet street. comfortable and clean. easy check-in process.,253.48
listing1424,3,2,7,Private room,Suburb,Well maintained. comfortable and clean. quiet street.,127.74
listing1425,1,1,3,Entire home/apt,Waterfront,Close to public transit. designer furnished. responsive host. marble bathroom and premium linens.,276.04
listing1426,5,2,6,Entire home/apt,Waterfront,Shared bathroom down the hall. quiet street. no frills stay. close to public transit.,264.99
listing1427,5,1,11,Private room,Suburb,Convenient location. parking available nearby. well maintained.,186.89
listing1428,1,1,3,Private room,Waterfront,Modern finishes throughout. great for a short stay. close to public transit. spacious and bright. walk to great restaurants.,162.54
listing1429,4,3,5,Entire home/apt,Suburb,Close to public transit. reliable wifi. standard kitchen and bath.,224.72
listing1430,1,1,2,Private room,Waterfront,Modern finishes throughout. close to public transit. walk to great restaurants. parking available nearby.,171.19
listing1431,4,2,9,Private room,Downtown,Parking available nearby. convenient location. close to public transit. well maintained. reliable wifi.,213.28
listing1432,5,3,6,Entire home/apt,Waterfront,Easy check-in process. quiet street. no frills stay. a bit dated but functional.,280.82
listing1433,1,3,2,Private room,Uptown,Parking available nearby. well maintained. reliable wifi.,118.06
listing1434,3,1,4,Entire home/apt,Suburb,Well maintained. great for a short stay. comfortable and clean. close to public transit.,207.73
listing1435,1,1,3,Private room,Suburb,"Responsive host. basic amenities. easy check-in process. no frills stay. thin walls, budget option.",60.86
listing1436,3,2,4,Entire home/apt,Downtown,Shared bathroom down the hall. responsive host. a bit dated but functional. quiet street.,205.31
listing1437,5,2,11,Private room,Downtown,Quiet street. close to public transit. a bit dated but functional. basic amenities.,215.13
listing1438,1,3,3,Entire home/apt,Downtown,Spacious and bright. parking available nearby. walk to great restaurants. close to public transit. recently renovated.,256.49
listing1439,2,1,5,Entire home/apt,Uptown,Modern finishes throughout. easy check-in process. walk to great restaurants.,255.58
listing1440,5,1,11,Shared room,Downtown,Well maintained. convenient location. close to public transit.,201.8
listing1441,2,1,3,Entire home/apt,Waterfront,Quiet street. shared bathroom down the hall. a bit dated but functional. no frills stay.,202.21
listing1442,1,3,2,Private room,Waterfront,Reliable wifi. quiet street. comfortable and clean. standard kitchen and bath. parking available nearby.,156.5
listing1443,3,1,4,Shared room,Suburb,Close to public transit. spacious and bright. modern finishes throughout. high-end appliances.,157.9
listing1444,3,2,7,Private room,Downtown,Spacious and bright. modern finishes throughout. close to public transit. recently renovated.,247.49
listing1445,4,1,9,Entire home/apt,Uptown,Convenient location. standard kitchen and bath. well maintained. quiet street.,255.36
listing1446,2,1,3,Private room,Downtown,"Close to public transit. thin walls, budget option. no frills stay. quiet street.",114.85
listing1447,5,3,11,Entire home/apt,Suburb,Designer furnished. easy check-in process. marble bathroom and premium linens.,370.08
listing1448,3,1,7,Entire home/apt,Downtown,Responsive host. modern finishes throughout. walk to great restaurants. recently renovated. parking available nearby.,284.83
listing1449,2,1,3,Private room,Downtown,"Easy check-in process. no frills stay. thin walls, budget option. basic amenities. quiet street.",138.16
listing1450,5,3,6,Private room,Downtown,Spacious and bright. modern finishes throughout. walk to great restaurants. quiet street. great for a short stay.,274.94
listing1451,5,2,6,Entire home/apt,Suburb,"Basic amenities. close to public transit. thin walls, budget option. a bit dated but functional. quiet street.",209.13
listing1452,3,1,4,Entire home/apt,Downtown,"Easy check-in process. shared bathroom down the hall. thin walls, budget option.",199.48
listing1453,1,2,2,Private room,Waterfront,Quiet street. modern finishes throughout. spacious and bright. close to public transit.,171.44
listing1454,3,3,7,Private room,Waterfront,Comfortable and clean. quiet street. parking available nearby. standard kitchen and bath.,218.68
listing1455,3,2,7,Entire home/apt,Suburb,Standard kitchen and bath. parking available nearby. great for a short stay. reliable wifi. comfortable and clean.,202.16
listing1456,1,2,3,Private room,Downtown,Quiet street. stunning skyline view. five-star concierge service. private rooftop access. responsive host.,243.18
listing1457,4,2,5,Entire home/apt,Downtown,Spacious and bright. easy check-in process. recently renovated. high-end appliances.,291.48
listing1458,5,2,11,Entire home/apt,Uptown,Easy check-in process. close to public transit. a bit dated but functional. basic amenities.,260.53
listing1459,1,1,2,Private room,Downtown,Convenient location. parking available nearby. comfortable and clean. easy check-in process.,139.8
listing1460,4,3,5,Shared room,Waterfront,Easy check-in process. modern finishes throughout. close to public transit. spacious and bright.,211.17
listing1461,1,3,3,Entire home/apt,Uptown,Responsive host. great for a short stay. standard kitchen and bath. reliable wifi.,219.22
listing1462,4,1,9,Entire home/apt,Uptown,Marble bathroom and premium linens. parking available nearby. quiet street. five-star concierge service. designer furnished.,337.9
listing1463,3,3,4,Entire home/apt,Downtown,Modern finishes throughout. easy check-in process. great for a short stay. recently renovated.,296.69
listing1464,1,3,2,Private room,Waterfront,"No frills stay. a bit dated but functional. great for a short stay. thin walls, budget option.",132.86
listing1465,5,3,11,Entire home/apt,Downtown,Responsive host. a bit dated but functional. shared bathroom down the hall. quiet street.,297.71
listing1466,1,2,3,Entire home/apt,Waterfront,Walk to great restaurants. great for a short stay. modern finishes throughout. high-end appliances.,258.29
listing1467,3,2,4,Shared room,Downtown,Marble bathroom and premium linens. great for a short stay. five-star concierge service. quiet street. private rooftop access.,256.97
listing1468,1,3,3,Entire home/apt,Suburb,Great for a short stay. no frills stay. shared bathroom down the hall. a bit dated but functional.,146.23
listing1469,5,1,11,Private room,Waterfront,"No frills stay. close to public transit. thin walls, budget option.",235.13
listing1470,4,3,5,Entire home/apt,Downtown,Easy check-in process. responsive host. walk to great restaurants. modern finishes throughout.,323.27
listing1471,5,3,11,Private room,Downtown,No frills stay. easy check-in process. shared bathroom down the hall. close to public transit. a bit dated but functional.,247.58
listing1472,3,3,7,Entire home/apt,Uptown,"Shared bathroom down the hall. a bit dated but functional. great for a short stay. thin walls, budget option.",227.81
listing1473,3,2,7,Entire home/apt,Downtown,Recently renovated. walk to great restaurants. parking available nearby. great for a short stay.,275.33
listing1474,4,2,5,Entire home/apt,Downtown,Quiet street. walk to great restaurants. great for a short stay. recently renovated. high-end appliances.,338.33
listing1475,4,1,5,Private room,Suburb,Spacious and bright. easy check-in process. walk to great restaurants. parking available nearby.,180.11
listing1476,5,3,11,Private room,Waterfront,Walk to great restaurants. close to public transit. spacious and bright.,321.95
listing1477,1,2,3,Entire home/apt,Downtown,Responsive host. well maintained. reliable wifi. easy check-in process.,205.32
listing1478,4,1,5,Entire home/apt,Waterfront,Easy check-in process. marble bathroom and premium linens. five-star concierge service.,369.73
listing1479,1,3,3,Private room,Downtown,Well maintained. standard kitchen and bath. responsive host.,141.74
listing1480,2,2,5,Entire home/apt,Suburb,Close to public transit. convenient location. reliable wifi. well maintained. great for a short stay.,193.51
listing1481,5,2,6,Entire home/apt,Downtown,Modern finishes throughout. walk to great restaurants. great for a short stay.,325.96
listing1482,2,1,5,Private room,Waterfront,Walk to great restaurants. recently renovated. great for a short stay. spacious and bright. close to public transit.,224.95
listing1483,4,3,5,Entire home/apt,Suburb,Recently renovated. walk to great restaurants. parking available nearby.,277.26
listing1484,3,2,4,Entire home/apt,Downtown,Basic amenities. responsive host. shared bathroom down the hall. great for a short stay.,226.23
listing1485,2,3,3,Entire home/apt,Downtown,Designer furnished. great for a short stay. close to public transit. marble bathroom and premium linens. five-star concierge service.,297.03
listing1486,2,3,3,Entire home/apt,Uptown,Parking available nearby. standard kitchen and bath. convenient location.,211.97
listing1487,3,1,7,Entire home/apt,Suburb,Parking available nearby. modern finishes throughout. walk to great restaurants. easy check-in process. high-end appliances.,246.93
listing1488,4,1,5,Private room,Uptown,Close to public transit. stunning skyline view. quiet street. designer furnished.,264.68
listing1489,4,3,9,Private room,Waterfront,Easy check-in process. parking available nearby. well maintained. convenient location. reliable wifi.,249.53
listing1490,5,2,6,Entire home/apt,Suburb,Great for a short stay. spacious and bright. modern finishes throughout.,279.61
listing1491,5,2,11,Private room,Suburb,Convenient location. easy check-in process. well maintained. comfortable and clean.,199.59
listing1492,4,1,5,Entire home/apt,Uptown,Modern finishes throughout. parking available nearby. spacious and bright.,291.17
listing1493,4,2,9,Private room,Uptown,Modern finishes throughout. close to public transit. high-end appliances. recently renovated.,210.66
listing1494,2,3,5,Entire home/apt,Waterfront,Recently renovated. close to public transit. modern finishes throughout.,298.07
listing1495,3,1,7,Private room,Downtown,"Quiet street. thin walls, budget option. basic amenities.",147.99
listing1496,1,2,2,Entire home/apt,Suburb,"Thin walls, budget option. great for a short stay. shared bathroom down the hall. quiet street. a bit dated but functional.",115.05
listing1497,2,3,3,Entire home/apt,Downtown,Responsive host. private rooftop access. designer furnished.,327.04
listing1498,5,1,6,Entire home/apt,Downtown,Easy check-in process. parking available nearby. marble bathroom and premium linens. stunning skyline view. five-star concierge service.,383.73
listing1499,3,1,4,Entire home/apt,Suburb,Responsive host. designer furnished. five-star concierge service. private rooftop access. quiet street.,292.47
listing1500,1,3,2,Entire home/apt,Uptown,"Thin walls, budget option. shared bathroom down the hall. easy check-in process. responsive host. a bit dated but functional.",159.38
listing1501,4,1,9,Private room,Downtown,Responsive host. standard kitchen and bath. comfortable and clean.,218.51
listing1502,5,2,6,Private room,Downtown,Parking available nearby. high-end appliances. walk to great restaurants. responsive host.,274.42
listing1503,5,2,6,Entire home/apt,Uptown,Walk to great restaurants. quiet street. recently renovated. high-end appliances.,307.95
listing1504,2,3,3,Private room,Suburb,No frills stay. a bit dated but functional. quiet street. shared bathroom down the hall.,84.68
listing1505,3,1,7,Private room,Downtown,Comfortable and clean. convenient location. well maintained. close to public transit. responsive host.,174.38
listing1506,3,2,7,Private room,Downtown,Quiet street. shared bathroom down the hall. basic amenities. a bit dated but functional.,172.05
listing1507,2,1,5,Private room,Uptown,Great for a short stay. close to public transit. comfortable and clean. reliable wifi.,135.49
listing1508,2,3,3,Private room,Suburb,Responsive host. shared bathroom down the hall. a bit dated but functional. easy check-in process. no frills stay.,80.45
listing1509,2,2,3,Entire home/apt,Downtown,"Basic amenities. no frills stay. great for a short stay. parking available nearby. thin walls, budget option.",172.78
listing1510,5,2,11,Private room,Suburb,"Close to public transit. thin walls, budget option. a bit dated but functional.",178.98
listing1511,4,2,9,Shared room,Suburb,Quiet street. stunning skyline view. marble bathroom and premium linens. five-star concierge service.,231.44
listing1512,5,1,6,Entire home/apt,Downtown,Spacious and bright. great for a short stay. walk to great restaurants. high-end appliances. close to public transit.,322.96
listing1513,5,3,6,Entire home/apt,Suburb,Responsive host. stunning skyline view. marble bathroom and premium linens. parking available nearby. five-star concierge service.,358.88
listing1514,5,2,6,Entire home/apt,Waterfront,Great for a short stay. parking available nearby. well maintained. convenient location.,283.29
listing1515,1,1,3,Shared room,Uptown,Convenient location. reliable wifi. responsive host.,84.46
listing1516,5,2,6,Entire home/apt,Uptown,Responsive host. convenient location. comfortable and clean.,266.95
listing1517,1,3,3,Private room,Suburb,Comfortable and clean. well maintained. great for a short stay. convenient location.,109.56
listing1518,3,3,7,Private room,Suburb,Quiet street. comfortable and clean. reliable wifi. convenient location.,171.87
listing1519,3,2,7,Shared room,Suburb,Recently renovated. spacious and bright. responsive host. modern finishes throughout.,146.05
listing1520,2,1,5,Entire home/apt,Suburb,Modern finishes throughout. spacious and bright. quiet street.,222.84
listing1521,1,2,2,Private room,Uptown,High-end appliances. great for a short stay. recently renovated. spacious and bright.,168.38
listing1522,1,2,3,Private room,Suburb,Great for a short stay. quiet street. a bit dated but functional. basic amenities.,62.76
listing1523,5,2,6,Entire home/apt,Suburb,Parking available nearby. well maintained. reliable wifi. convenient location. responsive host.,242.35
listing1524,2,1,3,Private room,Downtown,Basic amenities. parking available nearby. a bit dated but functional. shared bathroom down the hall.,123.02
listing1525,2,2,3,Entire home/apt,Downtown,Easy check-in process. shared bathroom down the hall. responsive host. no frills stay.,197.14
listing1526,5,2,6,Private room,Uptown,Recently renovated. quiet street. modern finishes throughout.,250.99
listing1527,1,3,2,Entire home/apt,Suburb,Responsive host. easy check-in process. standard kitchen and bath. reliable wifi. well maintained.,172.74
listing1528,5,2,6,Entire home/apt,Downtown,Walk to great restaurants. responsive host. modern finishes throughout. easy check-in process.,317.22
listing1529,5,2,6,Entire home/apt,Waterfront,"A bit dated but functional. thin walls, budget option. close to public transit.",280.88
listing1530,3,2,4,Entire home/apt,Downtown,Marble bathroom and premium linens. great for a short stay. five-star concierge service.,349.0
listing1531,1,1,2,Entire home/apt,Uptown,Responsive host. marble bathroom and premium linens. designer furnished.,263.23
listing1532,1,1,2,Private room,Waterfront,Convenient location. quiet street. great for a short stay. comfortable and clean.,118.07
listing1533,2,3,5,Entire home/apt,Downtown,Recently renovated. close to public transit. spacious and bright.,279.62
listing1534,3,3,4,Entire home/apt,Suburb,"Parking available nearby. basic amenities. shared bathroom down the hall. thin walls, budget option. close to public transit.",182.33
listing1535,1,3,2,Private room,Downtown,Quiet street. spacious and bright. modern finishes throughout. great for a short stay.,172.26
listing1536,3,2,4,Private room,Suburb,Close to public transit. spacious and bright. quiet street. recently renovated.,170.68
listing1537,1,1,2,Entire home/apt,Downtown,Recently renovated. easy check-in process. spacious and bright.,214.09
listing1538,3,3,7,Shared room,Suburb,High-end appliances. walk to great restaurants. great for a short stay.,179.29
listing1539,1,2,3,Entire home/apt,Waterfront,Reliable wifi. great for a short stay. close to public transit. well maintained. comfortable and clean.,216.99
listing1540,4,1,9,Private room,Downtown,Easy check-in process. spacious and bright. walk to great restaurants. parking available nearby. high-end appliances.,228.25
listing1541,1,3,3,Entire home/apt,Downtown,Walk to great restaurants. great for a short stay. responsive host. spacious and bright.,259.22
listing1542,1,3,2,Private room,Downtown,"Basic amenities. no frills stay. thin walls, budget option. quiet street.",115.32
listing1543,1,3,3,Shared room,Waterfront,"Thin walls, budget option. a bit dated but functional. easy check-in process. close to public transit.",111.2
listing1544,5,1,6,Private room,Suburb,Parking available nearby. spacious and bright. modern finishes throughout. walk to great restaurants. easy check-in process.,204.3
listing1545,1,3,3,Private room,Uptown,Quiet street. convenient location. well maintained. close to public transit.,120.38
listing1546,3,2,4,Private room,Uptown,Close to public transit. comfortable and clean. parking available nearby. reliable wifi.,150.75
listing1547,3,2,7,Entire home/apt,Waterfront,Five-star concierge service. responsive host. designer furnished.,350.54
listing1548,3,3,4,Private room,Uptown,Recently renovated. responsive host. quiet street. modern finishes throughout.,210.23
listing1549,4,2,9,Private room,Waterfront,Quiet street. convenient location. parking available nearby. well maintained. reliable wifi.,229.78
listing1550,5,1,6,Shared room,Uptown,Responsive host. standard kitchen and bath. convenient location.,166.71
listing1551,2,1,5,Entire home/apt,Waterfront,Close to public transit. reliable wifi. comfortable and clean.,225.92
listing1552,5,2,11,Entire home/apt,Suburb,Walk to great restaurants. responsive host. spacious and bright.,299.78
listing1553,2,3,5,Private room,Uptown,Responsive host. standard kitchen and bath. quiet street. well maintained.,186.09
listing1554,5,3,6,Entire home/apt,Downtown,Standard kitchen and bath. comfortable and clean. close to public transit. reliable wifi.,289.75
listing1555,3,2,4,Entire home/apt,Downtown,Easy check-in process. high-end appliances. spacious and bright. walk to great restaurants. great for a short stay.,278.3
listing1556,4,3,9,Entire home/apt,Waterfront,Recently renovated. quiet street. modern finishes throughout. walk to great restaurants.,382.53
listing1557,5,3,6,Private room,Uptown,Recently renovated. spacious and bright. walk to great restaurants. responsive host.,259.05
listing1558,4,2,5,Entire home/apt,Suburb,"Basic amenities. thin walls, budget option. parking available nearby. great for a short stay.",175.44
listing1559,5,2,6,Entire home/apt,Waterfront,Walk to great restaurants. quiet street. spacious and bright. modern finishes throughout.,349.11
listing1560,3,3,4,Entire home/apt,Uptown,Standard kitchen and bath. responsive host. reliable wifi.,224.08
listing1561,1,2,2,Private room,Suburb,Responsive host. shared bathroom down the hall. no frills stay. a bit dated but functional.,71.91
listing1562,3,1,4,Private room,Downtown,Spacious and bright. great for a short stay. walk to great restaurants. modern finishes throughout.,207.47
listing1563,1,3,3,Entire home/apt,Suburb,Modern finishes throughout. close to public transit. responsive host. recently renovated. high-end appliances.,204.72
listing1564,5,2,11,Entire home/apt,Downtown,Well maintained. standard kitchen and bath. comfortable and clean. easy check-in process. close to public transit.,328.31
listing1565,2,2,3,Private room,Waterfront,Responsive host. recently renovated. spacious and bright. parking available nearby.,214.8
listing1566,2,3,3,Entire home/apt,Suburb,Responsive host. reliable wifi. convenient location.,199.68
listing1567,2,3,3,Private room,Suburb,"Shared bathroom down the hall. thin walls, budget option. close to public transit. quiet street. basic amenities.",98.22
listing1568,4,1,9,Entire home/apt,Suburb,Standard kitchen and bath. reliable wifi. convenient location. parking available nearby.,222.67
listing1569,3,2,4,Shared room,Uptown,Reliable wifi. standard kitchen and bath. comfortable and clean. great for a short stay.,142.34
listing1570,5,1,11,Entire home/apt,Suburb,High-end appliances. modern finishes throughout. walk to great restaurants. great for a short stay.,308.51
listing1571,3,2,7,Private room,Waterfront,Parking available nearby. spacious and bright. walk to great restaurants.,243.62
listing1572,2,2,5,Entire home/apt,Waterfront,Modern finishes throughout. high-end appliances. easy check-in process. recently renovated.,302.62
listing1573,1,2,2,Shared room,Downtown,"Shared bathroom down the hall. parking available nearby. thin walls, budget option.",91.21
listing1574,1,3,3,Shared room,Downtown,Reliable wifi. parking available nearby. standard kitchen and bath. quiet street.,127.54
listing1575,2,2,5,Private room,Waterfront,A bit dated but functional. parking available nearby. basic amenities. easy check-in process.,149.02
listing1576,5,2,11,Entire home/apt,Downtown,Close to public transit. high-end appliances. easy check-in process. modern finishes throughout.,350.65
listing1577,3,2,7,Entire home/apt,Waterfront,"Close to public transit. thin walls, budget option. shared bathroom down the hall. a bit dated but functional. great for a short stay.",221.99
listing1578,5,1,11,Private room,Suburb,Comfortable and clean. standard kitchen and bath. easy check-in process.,187.92
listing1579,1,1,2,Private room,Suburb,Walk to great restaurants. parking available nearby. recently renovated. quiet street. high-end appliances.,123.65
listing1580,1,3,3,Entire home/apt,Downtown,Close to public transit. easy check-in process. high-end appliances. spacious and bright. modern finishes throughout.,250.01
listing1581,5,1,11,Entire home/apt,Suburb,Well maintained. close to public transit. comfortable and clean. reliable wifi. easy check-in process.,258.05
listing1582,1,1,2,Entire home/apt,Downtown,Responsive host. reliable wifi. quiet street. convenient location.,191.26
listing1583,1,3,2,Private room,Uptown,High-end appliances. great for a short stay. walk to great restaurants.,175.28
listing1584,3,1,7,Private room,Suburb,Well maintained. easy check-in process. convenient location.,144.96
listing1585,5,2,6,Private room,Downtown,"Basic amenities. thin walls, budget option. responsive host.",196.01
listing1586,4,3,5,Private room,Downtown,Great for a short stay. spacious and bright. high-end appliances. recently renovated. responsive host.,235.59
listing1587,1,2,3,Entire home/apt,Downtown,Convenient location. quiet street. reliable wifi. parking available nearby. comfortable and clean.,226.49
listing1588,5,1,11,Entire home/apt,Uptown,Convenient location. well maintained. close to public transit. comfortable and clean.,277.3
listing1589,5,1,11,Entire home/apt,Suburb,No frills stay. shared bathroom down the hall. great for a short stay. quiet street.,223.03
listing1590,5,3,6,Private room,Downtown,Close to public transit. reliable wifi. well maintained. convenient location.,229.89
listing1591,5,1,6,Entire home/apt,Downtown,Quiet street. well maintained. standard kitchen and bath. reliable wifi.,273.14
listing1592,2,3,5,Entire home/apt,Waterfront,Standard kitchen and bath. easy check-in process. comfortable and clean.,269.53
listing1593,5,1,11,Entire home/apt,Downtown,Reliable wifi. responsive host. convenient location. easy check-in process.,315.63
listing1594,2,1,3,Entire home/apt,Waterfront,Standard kitchen and bath. parking available nearby. convenient location.,228.33
listing1595,5,3,6,Private room,Suburb,Walk to great restaurants. high-end appliances. great for a short stay. close to public transit.,227.71
listing1596,3,3,4,Entire home/apt,Suburb,Close to public transit. easy check-in process. marble bathroom and premium linens. five-star concierge service.,307.43
listing1597,4,3,9,Entire home/apt,Suburb,"Parking available nearby. basic amenities. thin walls, budget option. no frills stay. great for a short stay.",218.89
listing1598,4,3,5,Private room,Uptown,A bit dated but functional. no frills stay. basic amenities. responsive host.,159.72
listing1599,4,1,9,Entire home/apt,Suburb,High-end appliances. parking available nearby. recently renovated.,272.06
